id	question	a	b	c	d	e
1	A invenção do zero pelos humanos foi crucial para a matemática e a __________ modernas.	álgebra	fala	língua	geometria	ciência
2	Papagaios e macacos entendem o conceito de zero, e agora as abelhas também se __________ ao clube.	exibiram	manifestaram	expuseram	juntaram	mostraram
3	Entre os tipos de exposição à radiação que afetam a população mundial, a maior parcela corresponde a exposições médicas, isto é, exames que __________ radiação ionizante para diagnóstico e tratamento.	empregam	difundem	comunicam	anunciam	divulgam
4	Dentre as exposições médicas, os diagnósticos feitos com raios X são a fonte mais significativa para a exposição da __________ mundial.	população	imagem	recordação	metáfora	reputação
5	Pesquisadores americanos passaram os últimos tempos estudando um __________ bastante peculiar: baratas.	método	pássaro	remédio	assunto	vírus
6	Especificamente, a capacidade impressionante desses insetos de se espremerem por qualquer espaço e aguentarem __________ de até 900 vezes seu próprio peso sem sofrer grandes danos.	magnitudes	ambientes	pressões	temperaturas	situações
7	"O prazer é a sombra da felicidade", diz um provérbio hindu, para se referir a esse efeito efêmero da exposição a __________ sensoriais, estéticos ou intelectuais.	estímulos	problemas	distúrbios	complicações	enigmas
8	Embora intrinsecamente satisfatória, a sensação não se sustenta e, muito rapidamente, tende a se tornar __________ ou mesmo desagradável.	envelhecida	neutra	atrasada	primitiva	obsoleta
9	Ainda que saibamos disso, a maioria de nós __________ atrás dessa vivência, insistindo em repeti-la a todo custo.	estaciona	empaca	corre	estica	resiste
10	O próprio conceito de verdade, sua flexibilidade, torna-se verdade provisória, o que muito se aproxima estruturalmente dos produtos da ciência e da arte na busca do __________ da vida no Planeta.	significado	pensamento	ensaio	experimento	teste
11	Assim, ao objetivar sentimentos, a arte permite ao espectador uma melhor compreensão de si próprio, dos padrões e da __________ dos sentimentos.	palavra	cadeia	natureza	verdade	genuinidade
12	O que se conhece a respeito do cérebro e de seu funcionamento é retirado de pesquisas com pessoas que têm acesso à __________ e foram alfabetizadas desde crianças.	saúde	comodidade	notícia	ultrassonografia	leitura
13	As funções do cérebro e as regiões dele onde ocorrem mais __________ neurais refletem a influência da formação cultural e educacional dos seres humanos.	lesões	degenerações	danificações	deteriorações	conexões
14	A evolução ocorre na medida em que o sucesso reprodutivo desigual dos indivíduos adapta a __________ ao ambiente.	convivência	situação	população	seleção	comunhão
15	Darwin chamou esse mecanismo de adaptação evolutiva de "seleção natural", já que o ambiente "seleciona" para a __________ de certas características.	vida	natureza	sorte	propagação	biografia
