id	answer
1	e
2	d
3	a
4	a
5	d
6	c
7	a
8	b
9	c
10	a
11	c
12	e
13	e
14	c
15	d
16	e
17	a
18	e
19	b
20	b
21	c
22	b
23	b
24	c
25	d
26	e
27	d
28	c
29	e
30	b
31	d
32	d
33	b
34	b
35	c
36	e
37	d
39	e
40	d
41	a
42	e
43	c
44	c
45	a
46	c
47	a
48	c
49	e
50	b
51	d
52	d
53	a
54	a
55	d
56	b
57	b
58	e
59	a
60	b
61	e
62	b
63	a
64	c
65	b
66	a
67	c
68	b
69	c
70	b
71	a
72	a
73	e
74	e
75	d
77	e
79	a
80	a
81	a
82	a
83	b
84	a
85	e
86	a
87	e
88	c
89	e
90	c
91	c
92	b
93	a
94	b
95	e
96	a
97	d
98	e
99	a
100	d
101	e
102	a
103	d
104	e
107	e
108	c
109	e
110	e
111	a
113	e
115	c
116	d
117	a
118	d
119	e
121	a
